ENSG00000186092.6	OR4F5
ENSG00000284733.1	OR4F29
ENSG00000284662.1	OR4F16
ENSG00000187634.11	SAMD11
ENSG00000188976.10	NOC2L
ENSG00000187961.13	KLHL17
ENSG00000187583.10	PLEKHN1
ENSG00000187642.9	PERM1
ENSG00000188290.10	HES4
ENSG00000187608.9	ISG15
ENSG00000188157.14	AGRN
ENSG00000237330.2	RNF223
ENSG00000131591.17	C1orf159
ENSG00000162571.13	TTLL10
ENSG00000186891.13	TNFRSF18
ENSG00000186827.10	TNFRSF4
ENSG00000078808.16	SDF4
ENSG00000176022.5	B3GALT6
ENSG00000184163.3	C1QTNF12
ENSG00000160087.20	UBE2J2
ENSG00000162572.20	SCNN1D
ENSG00000131584.18	ACAP3
ENSG00000169972.11	PUSL1
ENSG00000127054.20	INTS11
ENSG00000224051.6	CPTP
ENSG00000169962.4	TAS1R3
ENSG00000107404.19	DVL1
ENSG00000162576.16	MXRA8
ENSG00000175756.13	AURKAIP1
ENSG00000221978.11	CCNL2
ENSG00000242485.5	MRPL20
ENSG00000235098.8	ANKRD65
ENSG00000205116.3	TMEM88B
ENSG00000179403.11	VWA1
ENSG00000215915.9	ATAD3C
ENSG00000160072.19	ATAD3B
ENSG00000197785.13	ATAD3A
ENSG00000205090.8	TMEM240
ENSG00000160075.11	SSU72
ENSG00000228594.3	FNDC10
ENSG00000197530.12	MIB2
ENSG00000189409.13	MMP23B
ENSG00000248333.8	CDK11B
ENSG00000189339.11	SLC35E2B
ENSG00000008128.22	CDK11A
ENSG00000215790.7	SLC35E2A
ENSG00000008130.15	NADK
ENSG00000078369.17	GNB1
ENSG00000169885.9	CALML6
ENSG00000178821.12	TMEM52
ENSG00000142609.18	CFAP74
ENSG00000187730.8	GABRD
ENSG00000067606.16	PRKCZ
ENSG00000162585.16	FAAP20
ENSG00000157933.9	SKI
ENSG00000116151.13	MORN1
ENSG00000157916.19	RER1
ENSG00000157911.10	PEX10
ENSG00000149527.17	PLCH2
ENSG00000157881.13	PANK4
ENSG00000197921.5	HES5
ENSG00000157873.17	TNFRSF14
ENSG00000157870.15	PRXL2B
ENSG00000142606.15	MMEL1
ENSG00000215912.12	TTC34
ENSG00000169717.6	ACTRT2
ENSG00000142611.16	PRDM16
ENSG00000130762.14	ARHGEF16
ENSG00000162591.15	MEGF6
ENSG00000158109.14	TPRG1L
ENSG00000116213.15	WRAP73
ENSG00000078900.14	TP73
ENSG00000162592.9	CCDC27
ENSG00000235169.8	SMIM1
ENSG00000130764.9	LRRC47
ENSG00000116198.12	CEP104
ENSG00000169598.15	DFFB
ENSG00000198912.10	C1orf174
ENSG00000196581.10	AJAP1
ENSG00000131697.17	NPHP4
ENSG00000069424.14	KCNAB2
ENSG00000116254.17	CHD5
ENSG00000285629.1	AL031847.2
ENSG00000116251.10	RPL22
ENSG00000158286.12	RNF207
ENSG00000116237.15	ICMT
ENSG00000173673.7	HES3
ENSG00000158292.6	GPR153
ENSG00000097021.19	ACOT7
ENSG00000069812.11	HES2
ENSG00000187017.16	ESPN
ENSG00000215788.10	TNFRSF25
ENSG00000171680.21	PLEKHG5
ENSG00000162408.10	NOL9
ENSG00000173662.20	TAS1R1
ENSG00000204859.12	ZBTB48
ENSG00000162413.16	KLHL21
ENSG00000116273.5	PHF13
ENSG00000041988.15	THAP3
ENSG00000007923.15	DNAJC11
ENSG00000171735.18	CAMTA1
ENSG00000049245.12	VAMP3
ENSG00000049246.14	PER3
ENSG00000049247.13	UTS2
ENSG00000049249.8	TNFRSF9
ENSG00000116288.12	PARK7
ENSG00000116285.12	ERRFI1
ENSG00000162426.14	SLC45A1
ENSG00000142599.17	RERE
ENSG00000074800.15	ENO1
ENSG00000131686.14	CA6
ENSG00000197241.3	SLC2A7
ENSG00000142583.17	SLC2A5
ENSG00000180758.11	GPR157
ENSG00000049239.12	H6PD
ENSG00000171621.13	SPSB1
ENSG00000171612.6	SLC25A33
ENSG00000188807.12	TMEM201
ENSG00000171608.15	PIK3CD
ENSG00000171603.17	CLSTN1
ENSG00000178585.14	CTNNBIP1
ENSG00000162441.11	LZIC
ENSG00000173614.13	NMNAT1
ENSG00000162444.11	RBP7
ENSG00000130939.18	UBE4B
ENSG00000054523.17	KIF1B
ENSG00000142657.20	PGD
ENSG00000251503.8	CENPS-CORT
ENSG00000175279.21	CENPS
ENSG00000241563.3	CORT
ENSG00000160049.11	DFFA
ENSG00000142655.12	PEX14
ENSG00000130940.14	CASZ1
ENSG00000175262.14	C1orf127
ENSG00000120948.17	TARDBP
ENSG00000277726.4	AL109811.4
ENSG00000009724.16	MASP2
ENSG00000116649.9	SRM
ENSG00000171824.13	EXOSC10
ENSG00000198793.12	MTOR
ENSG00000171819.4	ANGPTL7
ENSG00000120942.13	UBIAD1
ENSG00000204624.7	DISP3
ENSG00000116661.10	FBXO2
ENSG00000132879.13	FBXO44
ENSG00000116663.10	FBXO6
ENSG00000116670.14	MAD2L2
ENSG00000162490.6	DRAXIN
ENSG00000177674.15	AGTRAP
ENSG00000215910.7	C1orf167
ENSG00000177000.12	MTHFR
ENSG00000011021.22	CLCN6
ENSG00000175206.10	NPPA
ENSG00000120937.8	NPPB
ENSG00000116685.15	KIAA2013
ENSG00000083444.16	PLOD1
ENSG00000116688.16	MFN2
ENSG00000116691.10	MIIP
ENSG00000120949.14	TNFRSF8
ENSG00000028137.18	TNFRSF1B
ENSG00000048707.15	VPS13D
ENSG00000162496.8	DHRS3
ENSG00000204518.2	AADACL4
ENSG00000188984.11	AADACL3
ENSG00000157330.9	C1orf158
ENSG00000116726.4	PRAMEF12
ENSG00000116721.9	PRAMEF1
ENSG00000239810.3	PRAMEF11
ENSG00000179172.9	HNRNPCL1
ENSG00000120952.4	PRAMEF2
ENSG00000243073.3	PRAMEF4
ENSG00000187545.5	PRAMEF10
ENSG00000204510.5	PRAMEF7
ENSG00000232423.6	PRAMEF6
ENSG00000274764.5	PRAMEF27
ENSG00000277058.2	HNRNPCL3
ENSG00000229571.7	PRAMEF25
ENSG00000275774.2	HNRNPCL2
ENSG00000280267.4	PRAMEF26
ENSG00000179412.10	HNRNPCL4
ENSG00000204505.4	PRAMEF9
ENSG00000279169.2	PRAMEF13
ENSG00000279804.2	PRAMEF18
ENSG00000270601.4	PRAMEF5
ENSG00000182330.10	PRAMEF8
ENSG00000237700.2	PRAMEF33
ENSG00000204501.7	PRAMEF15
ENSG00000204481.7	PRAMEF14
ENSG00000204480.8	PRAMEF19
ENSG00000204479.4	PRAMEF17
ENSG00000204478.9	PRAMEF20
ENSG00000162494.5	LRRC38
ENSG00000162493.16	PDPN
ENSG00000116731.22	PRDM2
ENSG00000189337.16	KAZN
ENSG00000171729.13	TMEM51
ENSG00000142621.19	FHAD1
ENSG00000142634.12	EFHD2
ENSG00000162438.11	CTRC
ENSG00000142615.7	CELA2A
ENSG00000215704.9	CELA2B
ENSG00000132906.17	CASP9
ENSG00000116138.12	DNAJC16
ENSG00000116771.5	AGMAT
ENSG00000197312.11	DDI2
ENSG00000215695.1	RSC1A1
ENSG00000116786.12	PLEKHM2
ENSG00000162461.7	SLC25A34
ENSG00000162460.6	TMEM82
ENSG00000162458.12	FBLIM1
ENSG00000233954.6	UQCRHL
ENSG00000065526.10	SPEN
ENSG00000116809.11	ZBTB17
ENSG00000183888.4	SRARP
ENSG00000173641.17	HSPB7
ENSG00000186510.11	CLCNKA
ENSG00000184908.17	CLCNKB
ENSG00000185519.8	FAM131C
ENSG00000142627.12	EPHA2
ENSG00000142632.16	ARHGEF19
ENSG00000132881.11	CPLANE2
ENSG00000037637.10	FBXO42
ENSG00000055070.16	SZRD1
ENSG00000187144.11	SPATA21
ENSG00000157191.19	NECAP2
ENSG00000219481.10	NBPF1
ENSG00000058453.16	CROCC
ENSG00000117122.13	MFAP2
ENSG00000159363.17	ATP13A2
ENSG00000117118.9	SDHB
ENSG00000117115.12	PADI2
ENSG00000142623.10	PADI1
ENSG00000142619.4	PADI3
ENSG00000159339.13	PADI4
ENSG00000276747.1	PADI6
ENSG00000179051.13	RCC2
ENSG00000074964.16	ARHGEF10L
ENSG00000117148.7	ACTL8
ENSG00000117154.11	IGSF21
ENSG00000179023.8	KLHDC7A
ENSG00000009709.11	PAX7
ENSG00000179002.5	TAS1R2
ENSG00000255275.3	AL080251.1
ENSG00000159423.16	ALDH4A1
ENSG00000169991.10	IFFO2
ENSG00000127481.14	UBR4
ENSG00000127463.14	EMC1
ENSG00000053372.4	MRTO4
ENSG00000162482.4	AKR7A3
ENSG00000053371.12	AKR7A2
ENSG00000040487.12	PQLC2
ENSG00000077549.17	CAPZB
ENSG00000173436.14	MINOS1
ENSG00000158747.14	NBL1
ENSG00000270136.6	MINOS1-NBL1
ENSG00000158748.3	HTR6
ENSG00000162542.13	TMCO4
ENSG00000178828.6	RNF186
ENSG00000169914.5	OTUD3
ENSG00000188784.4	PLA2G2E
ENSG00000188257.11	PLA2G2A
ENSG00000127472.10	PLA2G5
ENSG00000117215.14	PLA2G2D
ENSG00000158786.4	PLA2G2F
ENSG00000187980.6	PLA2G2C
ENSG00000162543.5	UBXN10
ENSG00000158816.15	VWA5B1
ENSG00000162545.5	CAMK2N1
ENSG00000090432.6	MUL1
ENSG00000183114.7	FAM43B
ENSG00000158825.5	CDA
ENSG00000158828.7	PINK1
ENSG00000244038.9	DDOST
ENSG00000117245.12	KIF17
ENSG00000189410.11	SH2D5
ENSG00000127483.17	HP1BP3
ENSG00000075151.20	EIF4G3
ENSG00000117298.15	ECE1
ENSG00000142794.18	NBPF3
ENSG00000162551.13	ALPL
ENSG00000076864.19	RAP1GAP
ENSG00000090686.15	USP48
ENSG00000187942.11	LDLRAD2
ENSG00000142798.19	HSPG2
ENSG00000219073.7	CELA3B
ENSG00000142789.19	CELA3A
ENSG00000285721.1	AL031281.2
ENSG00000070831.15	CDC42
ENSG00000162552.14	WNT4
ENSG00000184677.17	ZBTB40
ENSG00000070886.11	EPHA8
ENSG00000173372.16	C1QA
ENSG00000159189.11	C1QC
ENSG00000173369.15	C1QB
ENSG00000133216.16	EPHB2
ENSG00000215906.8	LACTBL1
ENSG00000227868.5	TEX46
ENSG00000004487.16	KDM1A
ENSG00000169641.13	LUZP1
ENSG00000179546.4	HTR1D
ENSG00000125944.19	HNRNPR
ENSG00000125945.14	ZNF436
ENSG00000204219.10	TCEA3
ENSG00000088280.18	ASAP3
ENSG00000007968.6	E2F2
ENSG00000117318.8	ID3
ENSG00000142676.14	RPL11
ENSG00000011007.12	ELOA
ENSG00000057757.9	PITHD1
ENSG00000011009.10	LYPLA2
ENSG00000117308.14	GALE
ENSG00000117305.14	HMGCL
ENSG00000179163.11	FUCA1
ENSG00000188822.7	CNR2
ENSG00000189266.12	PNRC2
ENSG00000188529.14	SRSF10
ENSG00000142661.18	MYOM3
ENSG00000142677.3	IL22RA1
ENSG00000185436.11	IFNLR1
ENSG00000158055.15	GRHL3
ENSG00000001460.17	STPG1
ENSG00000001461.16	NIPAL3
ENSG00000117602.11	RCAN3
ENSG00000184454.6	NCMAP
ENSG00000133226.16	SRRM1
ENSG00000169504.14	CLIC4
ENSG00000020633.18	RUNX3
ENSG00000117614.9	SYF2
ENSG00000117616.17	RSRP1
ENSG00000187010.20	RHD
ENSG00000183726.10	TMEM50A
ENSG00000188672.18	RHCE
ENSG00000204178.10	MACO1
ENSG00000157978.11	LDLRAP1
ENSG00000117643.14	MAN1C1
ENSG00000162430.16	SELENON
ENSG00000255054.3	AL020996.2
ENSG00000117640.17	MTFR1L
ENSG00000127423.10	AUNIP
ENSG00000182749.5	PAQR7
ENSG00000117632.22	STMN1
ENSG00000158006.13	PAFAH2
ENSG00000158008.9	EXTL1
ENSG00000158014.14	SLC30A2
ENSG00000158022.6	TRIM63
ENSG00000175087.9	PDIK1L
ENSG00000197245.5	FAM110D
ENSG00000282872.1	C1orf232
ENSG00000236782.7	AL391650.1
ENSG00000142684.8	ZNF593
ENSG00000142675.17	CNKSR1
ENSG00000188782.8	CATSPER4
ENSG00000130695.15	CEP85
ENSG00000142669.14	SH3BGRL3
ENSG00000158062.20	UBXN11
ENSG00000169442.8	CD52
ENSG00000176092.15	CRYBG2
ENSG00000176083.17	ZNF683
ENSG00000131914.10	LIN28A
ENSG00000117682.16	DHDDS
ENSG00000198830.10	HMGN2
ENSG00000117676.13	RPS6KA1
ENSG00000117713.19	ARID1A
ENSG00000060642.10	PIGV
ENSG00000204160.11	ZDHHC18
ENSG00000175793.11	SFN
ENSG00000142751.14	GPN2
ENSG00000198746.12	GPATCH3
ENSG00000090273.13	NUDC
ENSG00000131910.4	NR0B2
ENSG00000175707.8	KDF1
ENSG00000253368.3	TRNP1
ENSG00000158246.7	TENT5B
ENSG00000090020.10	SLC9A1
ENSG00000142784.15	WDTC1
ENSG00000186501.14	TMEM222
ENSG00000142765.17	SYTL1
ENSG00000142733.15	MAP3K6
ENSG00000142748.12	FCN3
ENSG00000174950.10	CD164L2
ENSG00000181773.6	GPR3
ENSG00000158195.10	WASF2
ENSG00000126705.14	AHDC1
ENSG00000000938.12	FGR
ENSG00000126709.14	IFI6
ENSG00000009780.15	FAM76A
ENSG00000117758.13	STX12
ENSG00000117751.17	PPP1R8
ENSG00000130775.15	THEMIS2
ENSG00000117748.9	RPA2
ENSG00000130768.14	SMPDL3B
ENSG00000158156.7	XKR8
ENSG00000158161.15	EYA3
ENSG00000169403.11	PTAFR
ENSG00000126698.10	DNAJC8
ENSG00000130770.17	ATP5IF1
ENSG00000130766.4	SESN2
ENSG00000130772.13	MED18
ENSG00000204138.12	PHACTR4
ENSG00000180198.16	RCC1
ENSG00000180098.9	TRNAU1AP
ENSG00000120656.11	TAF12
ENSG00000188060.7	RAB42
ENSG00000162419.12	GMEB1
ENSG00000198492.15	YTHDF2
ENSG00000116329.10	OPRD1
ENSG00000159023.21	EPB41
ENSG00000253304.1	TMEM200B
ENSG00000116350.16	SRSF4
ENSG00000116353.15	MECR
ENSG00000060656.19	PTPRU
ENSG00000162510.5	MATN1
ENSG00000162511.7	LAPTM5
ENSG00000162512.15	SDC3
ENSG00000134644.15	PUM1
ENSG00000084628.9	NKAIN1
ENSG00000060688.12	SNRNP40
ENSG00000121766.15	ZCCHC17
ENSG00000121769.7	FABP3
ENSG00000168528.11	SERINC2
ENSG00000142910.15	TINAGL1
ENSG00000121764.11	HCRTR1
ENSG00000162517.12	PEF1
ENSG00000084636.17	COL16A1
ENSG00000121753.12	ADGRB2
ENSG00000134668.12	SPOCD1
ENSG00000184007.20	PTP4A2
ENSG00000121774.17	KHDRBS1
ENSG00000121775.17	TMEM39B
ENSG00000025800.13	KPNA6
ENSG00000084652.15	TXLNA
ENSG00000160050.14	CCDC28B
ENSG00000160051.11	IQCC
ENSG00000222046.2	DCDC2B
ENSG00000160055.19	TMEM234
ENSG00000084623.11	EIF3I
ENSG00000183615.5	FAM167B
ENSG00000182866.16	LCK
ENSG00000116478.11	HDAC1
ENSG00000175130.6	MARCKSL1
ENSG00000162526.6	TSSK3
ENSG00000225828.1	FAM229A
ENSG00000160058.18	BSDC1
ENSG00000254553.1	AL033529.1
ENSG00000273274.1	ZBTB8B
ENSG00000160062.14	ZBTB8A
ENSG00000176261.15	ZBTB8OS
ENSG00000162521.18	RBBP4
ENSG00000162520.14	SYNC
ENSG00000162522.10	KIAA1522
ENSG00000134684.10	YARS
ENSG00000116497.17	S100PBP
ENSG00000160097.17	FNDC5
ENSG00000121905.9	HPCA
ENSG00000121900.18	TMEM54
ENSG00000116514.16	RNF19B
ENSG00000004455.16	AK2
ENSG00000142920.16	AZIN2
ENSG00000116525.13	TRIM62
ENSG00000160094.14	ZNF362
ENSG00000184389.9	A3GALT2
ENSG00000134686.18	PHC2
ENSG00000121903.14	ZSCAN20
ENSG00000121904.17	CSMD2
ENSG00000176256.10	HMGB4
ENSG00000142698.14	C1orf94
ENSG00000163866.8	SMIM12
ENSG00000189280.3	GJB5
ENSG00000189433.5	GJB4
ENSG00000188910.7	GJB3
ENSG00000187513.8	GJA4
ENSG00000116544.11	DLGAP3
ENSG00000284773.1	AC114490.3
ENSG00000271741.1	AC114490.2
ENSG00000243749.1	TMEM35B
ENSG00000163867.16	ZMYM6
ENSG00000197056.10	ZMYM1
ENSG00000116560.10	SFPQ
ENSG00000146463.11	ZMYM4
ENSG00000142687.17	KIAA0319L
ENSG00000020129.15	NCDN
ENSG00000116819.7	TFAP2E
ENSG00000126067.11	PSMB2
ENSG00000142686.7	C1orf216
ENSG00000092853.13	CLSPN
ENSG00000134698.10	AGO4
ENSG00000092847.11	AGO1
ENSG00000126070.19	AGO3
ENSG00000092850.11	TEKT2
ENSG00000116863.10	ADPRHL2
ENSG00000171812.12	COL8A2
ENSG00000054116.11	TRAPPC3
ENSG00000116871.15	MAP7D1
ENSG00000054118.14	THRAP3
ENSG00000214193.10	SH3D21
ENSG00000142694.6	EVA1B
ENSG00000196182.10	STK40
ENSG00000181817.5	LSM10
ENSG00000116885.18	OSCP1
ENSG00000116898.11	MRPS15
ENSG00000119535.17	CSF3R
ENSG00000163873.9	GRIK3
ENSG00000163874.10	ZC3H12A
ENSG00000163875.15	MEAF6
ENSG00000163877.10	SNIP1
ENSG00000163879.10	DNALI1
ENSG00000134697.12	GNL2
ENSG00000169218.13	RSPO1
ENSG00000116922.14	C1orf109
ENSG00000134690.10	CDCA8
ENSG00000183317.16	EPHA10
ENSG00000185090.14	MANEAL
ENSG00000196449.3	YRDC
ENSG00000197982.13	C1orf122
ENSG00000188786.9	MTF1
ENSG00000204084.12	INPP5B
ENSG00000183431.11	SF3A3
ENSG00000183386.9	FHL3
ENSG00000183520.11	UTP11
ENSG00000185668.7	POU3F1
ENSG00000116954.7	RRAGC
ENSG00000214114.8	MYCBP
ENSG00000274944.4	GJA9-MYCBP
ENSG00000131233.9	GJA9
ENSG00000158315.10	RHBDL2
ENSG00000174574.15	AKIRIN1
ENSG00000168653.10	NDUFS5
ENSG00000127603.25	MACF1
ENSG00000183682.7	BMP8A
ENSG00000090621.13	PABPC4
ENSG00000163909.7	HEYL
ENSG00000116981.3	NT5C1A
ENSG00000116983.12	HPCAL4
ENSG00000084072.16	PPIE
ENSG00000116985.11	BMP8B
ENSG00000198754.5	OXCT2
ENSG00000043514.16	TRIT1
ENSG00000116990.10	MYCL
ENSG00000168389.17	MFSD2A
ENSG00000131236.16	CAP1
ENSG00000131238.17	PPT1
ENSG00000117000.8	RLF
ENSG00000188800.5	TMCO2
ENSG00000084073.8	ZMPSTE24
ENSG00000049089.14	COL9A2
ENSG00000084070.11	SMAP2
ENSG00000187801.14	ZFP69B
ENSG00000187815.9	ZFP69
ENSG00000164002.11	EXO5
ENSG00000117010.16	ZNF684
ENSG00000117016.9	RIMS3
ENSG00000066136.20	NFYC
ENSG00000117013.15	KCNQ4
ENSG00000179862.6	CITED4
ENSG00000171793.14	CTPS1
ENSG00000171790.15	SLFNL1
ENSG00000010803.16	SCMH1
ENSG00000204060.7	FOXO6
ENSG00000127129.9	EDN2
ENSG00000127124.15	HIVEP3
ENSG00000284895.1	AC119676.1
ENSG00000044012.3	GUCA2B
ENSG00000197273.3	GUCA2A
ENSG00000198815.8	FOXJ3
ENSG00000177181.14	RIMKLA
ENSG00000066185.12	ZMYND12
ENSG00000127125.8	PPCS
ENSG00000186409.15	CCDC30
ENSG00000171960.10	PPIH
ENSG00000065978.18	YBX1
ENSG00000164007.10	CLDN19
ENSG00000117385.15	P3H1
ENSG00000164008.15	C1orf50
ENSG00000283580.3	AC098484.3
ENSG00000274386.5	TMEM269
ENSG00000177868.11	SVBP
ENSG00000164010.14	ERMAP
ENSG00000164011.17	ZNF691
ENSG00000117394.21	SLC2A1
ENSG00000186973.10	FAM183A
ENSG00000117395.12	EBNA1BP2
ENSG00000243710.7	CFAP57
ENSG00000179178.10	TMEM125
ENSG00000253313.5	C1orf210
ENSG00000066056.13	TIE1
ENSG00000117400.17	MPL
ENSG00000117399.13	CDC20
ENSG00000066322.14	ELOVL1
ENSG00000159479.16	MED8
ENSG00000198198.16	SZT2
ENSG00000178922.16	HYI
ENSG00000142949.16	PTPRF
ENSG00000284989.1	AL451062.3
ENSG00000066135.12	KDM4A
ENSG00000126091.20	ST3GAL3
ENSG00000117407.16	ARTN
ENSG00000117408.10	IPO13
ENSG00000132768.13	DPH2
ENSG00000117410.13	ATP6V0B
ENSG00000117411.16	B4GALT2
ENSG00000159214.12	CCDC24
ENSG00000196517.11	SLC6A9
ENSG00000171872.4	KLF17
ENSG00000283039.1	KLF18
ENSG00000178028.13	DMAP1
ENSG00000117419.15	ERI3
ENSG00000187147.17	RNF220
ENSG00000126106.13	TMEM53
ENSG00000198520.11	ARMH1
ENSG00000142945.12	KIF2C
ENSG00000142937.11	RPS8
ENSG00000142959.4	BEST4
ENSG00000173846.12	PLK3
ENSG00000188396.3	TCTEX1D4
ENSG00000222009.8	BTBD19
ENSG00000117425.13	PTCH2
ENSG00000070785.16	EIF2B3
ENSG00000126107.14	HECTD3
ENSG00000126088.13	UROD
ENSG00000162415.6	ZSWIM5
ENSG00000186603.5	HPDL
ENSG00000132781.17	MUTYH
ENSG00000132773.11	TOE1
ENSG00000070759.16	TESK2
ENSG00000280670.2	CCDC163
ENSG00000132763.14	MMACHC
ENSG00000117450.13	PRDX1
ENSG00000117448.13	AKR1A1
ENSG00000132780.16	NASP
ENSG00000159588.14	CCDC17
ENSG00000159592.10	GPBP1L1
ENSG00000159596.6	TMEM69
ENSG00000197429.10	IPP
ENSG00000086015.20	MAST2
ENSG00000117461.14	PIK3R3
ENSG00000278139.1	AL358075.4
ENSG00000117472.9	TSPAN1
ENSG00000250719.1	AL672043.1
ENSG00000085998.13	POMGNT1
ENSG00000171357.5	LURAP1
ENSG00000085999.11	RAD54L
ENSG00000132128.16	LRRC41
ENSG00000173660.11	UQCRH
ENSG00000117481.10	NSUN4
ENSG00000117480.15	FAAH
ENSG00000197587.10	DMBX1
ENSG00000282881.2	AL136373.1
ENSG00000162456.9	KNCN
ENSG00000079277.20	MKNK1
ENSG00000142961.14	MOB3C
ENSG00000123472.12	ATPAF1
ENSG00000186118.8	TEX38
ENSG00000159658.10	EFCAB14
ENSG00000142973.13	CYP4B1
ENSG00000187048.12	CYP4A11
